Speed,PacketsPerSecond,Nodes,Throughput,EndToEndDelay,DeliveryRatio,DropRatio
5,100,20,0.00780619,0.00136456,0.39841,0.582021
5,100,40,0.0529295,0.104333,0.258941,0.673965
5,100,70,0.0012763,0.128533,0.260859,0.570799
5,100,100,0.000266794,0.167078,0.158054,0.616643
5,200,20,0.0161667,0.0062071,0.377125,0.610509
5,200,40,0.00950847,0.104408,0.165828,0.766012
5,200,70,0.00125805,0.188372,0.165084,0.663755
5,200,100,0.00031667,0.170973,0.112922,0.73691
5,300,20,0.0149292,0.00904454,0.26609,0.724809
5,300,40,0.015294,0.177704,0.131654,0.788024
5,300,70,0.00121409,0.235232,0.116961,0.700485
5,300,100,0.000472393,0.188468,0.0934359,0.76879
5,400,20,0.0400705,0.0533649,0.274763,0.712082
5,400,40,0.00576338,0.171513,0.133233,0.836208
5,400,70,0.00123381,0.229805,0.0978623,0.737046
5,400,100,0.000505666,0.188319,0.0694546,0.784528
10,100,20,0.00786163,0.0167518,0.360802,0.573274
10,100,40,0.00503826,0.0668881,0.241136,0.645482
10,100,70,0.000605362,0.18053,0.165454,0.667461
10,100,100,0.000229372,0.164893,0.161159,0.658015
10,200,20,0.0647104,0.0383002,0.379507,0.593399
10,200,40,0.00397168,0.135607,0.17693,0.697687
10,200,70,0.000454127,0.209436,0.0902974,0.726139
10,200,100,0.000250068,0.191066,0.100651,0.722124
10,300,20,0.0205312,0.0440492,0.34165,0.606807
10,300,40,0.005113,0.156633,0.173169,0.760225
10,300,70,0.000655626,0.206048,0.069556,0.78254
10,300,100,0.0003561,0.20959,0.0816099,0.782022
10,400,20,0.0196353,0.0821832,0.316632,0.641183
10,400,40,0.00371192,0.165417,0.129183,0.74776
10,400,70,0.000496889,0.186345,0.0545349,0.81778
10,400,100,0.00035063,0.245804,0.0651521,0.794748
15,100,20,0.0128609,0.00881025,0.346461,0.592475
15,100,40,0.00203357,0.137408,0.26252,0.570801
15,100,70,0.000325628,0.203434,0.144452,0.625729
15,100,100,0.00018487,0.182605,0.15789,0.681097
15,200,20,0.0189815,0.100645,0.287479,0.641652
15,200,40,0.00312835,0.142976,0.153775,0.684125
15,200,70,0.000343043,0.228578,0.0844714,0.689986
15,200,100,0.000288193,0.19205,0.0958803,0.756642
15,300,20,0.00765981,0.21447,0.211921,0.715931
15,300,40,0.00231061,0.146829,0.11515,0.718096
15,300,70,0.000289365,0.213131,0.0557414,0.717792
15,300,100,0.000317967,0.195142,0.0705138,0.792714
15,400,20,0.0116993,0.183963,0.182598,0.727422
15,400,40,0.00280475,0.187586,0.106689,0.774439
15,400,70,0.000371973,0.320004,0.0413617,0.738237
15,400,100,0.000469105,0.233656,0.0711421,0.832606
20,100,20,0.00418795,0.0158843,0.354233,0.582065
20,100,40,0.0017898,0.0571727,0.255518,0.607796
20,100,70,0.000274615,0.192222,0.159917,0.641834
20,100,100,0.000157043,0.165785,0.160948,0.612935
20,200,20,0.00616774,0.090212,0.284901,0.615755
20,200,40,0.00184033,0.0699022,0.171687,0.735151
20,200,70,0.000217983,0.207035,0.0757277,0.725561
20,200,100,0.000221606,0.214753,0.096262,0.730887
20,300,20,0.0100953,0.0241777,0.232099,0.661937
20,300,40,0.0021529,0.108493,0.135603,0.763035
20,300,70,0.000315827,0.26133,0.0673734,0.788739
20,300,100,0.000229376,0.213121,0.0707198,0.769207
20,400,20,0.00606032,0.0567511,0.246587,0.676414
20,400,40,0.00241858,0.193429,0.123281,0.790221
20,400,70,0.000352349,0.268723,0.0479817,0.805432
20,400,100,0.000224657,0.291576,0.0472794,0.774221
